,Avg systolic BP,Avg diastolic BP,Avg estimated MAP ,Weight at pw26 ,Height at pw26,Midarm circumference at pw26,Triceps skinfold at pw26,Biceps skinfold at pw26,Subscapular skinfold at pw26,Suprailiac skinfold at pw26,Avg antenatal weight 1st tri ,Avg antenatal weight 2nd tri,Avg antenatal weight 3rd tri ,Last antenatal weight,Sodium  ,Magnesium   ,Phosphorus ,Potassium,Calcium ,Iron ,Ferritin ,Copper,Zinc ,Selenium ,Transferrin receptor ,Myristic,Palmitic acid,Palmitoleic acid,Stearic acid,Oleic acid,cis-Vaccenic acid ,Linoleic acid,Linolenic acid (n-6) ,Linolenic acid (n-3)  ,Arachidic acid ,Gondoic acid ,Eicosadienoic acid  ,DGLA ,Arachidonic ,Behenic acid,ETA ,EPA ,Adrenic acid ,DPA ,DHA,Total FA ,Total n-3,Total n-6 ,SFA ,MUFA ,PUFA ,Triglycerides,Total cholesterol,HDL-cholesterol ,LDL-cholesterol,Flavin mononucleotide,Riboflavin ,N1-methylnicotinamide  ,Nicotinamide,Trigonelline ,Pyridoxal,Pyridoxal 5-phosphate ,Pyridoxic acid,Folate,Vitamin B12,Vitamin D3,Arginine,Asymmetric dimethylarginine ,Creatine,Creatinine ,Homoarginine,Symmetric dimethylarginine,Trimethyllysine ,Cystathionine ,Total Homocysteine ,Total cysteine ,1-Methylhistidine ,3-Methylhistidine ,Histidine ,Methionine ,Methionine sulfoxide ,3-Hydroxyanthranilic acid ,3-Hydroxykynurenine ,Anthranilic acid ,Kynurenic acid ,Kynurenine ,Quinolinic acid ,Tryptophan ,Xanthurenic acid ,Betaine ,Choline ,Dimethylglycine ,Trimethylamineoxide,Fasting glucose,2-hour glucose,Adiponectin,PAI-1,Resistin,MCP-1,FSH,GH,LH,TSH,IGF-I,IGF-II,IGFBP-1,IGFBP-3,IGFBP-7,C-Peptide,Leptin,TNF-a,IGFBP-4,Insulin,Aspartate transaminase,C-reactive protein,Alanine transaminase ,Uric acid,Neopterin ,PFBA,PNA,PFDA,PFUnDA,PFHxS,PFOA,PFBS,PFOS,PSI 1st tri,PSI 2nd tri,PSI 3rd tri ,PSI pregnancy ,PM2.5 1st tri ,PM2.5 2nd tri,PM2.5 3rd tri,PM2.5 pregnancy 
Avg systolic BP,1,.7604183,.906678,.5030132,.1291478,.472103,.3560829,.3469669,.3398098,.2671139,.506846,.5131357,.5067177,.4984507,.0175978,-.107195,.0576956,.0133697,.1498481,-.0680576,.011368,.17366,.0143268,-.0000129,.0047766,-.0532633,.0232617,.0379916,.0586197,.031031,.0097952,.0339383,.0216584,-.0163311,-.0252686,-.0005794,-.0412008,.1043285,.0741787,.0385113,.012372,.0401799,-.0228726,-.0309361,.0168678,.0349737,.0136018,.0482456,.0297516,.0281854,.043487,.13254,-.0531218,-.0783803,-.0602981,.0126717,.00907,-.0176992,-.0280491,-.0230336,.0453473,.0500652,.0570881,.0358067,-.1321105,-.0121825,.0308884,.0583846,-.0043085,.0381009,-.0149204,-.0050323,.0249834,-.0589381,-.0347484,.0920066,.0924263,.0268849,-.0572724,.0267624,.0269205,.0457122,.0441898,.0200486,.1821344,.1169855,.1477227,-.0152523,.1204849,-.030122,.0707238,.0807756,.0328111,.1947535,.1428339,-.2178312,-.0548662,.0066063,.1482927,-.0503843,-.0887343,-.0380887,-.0202195,.1276409,-.0584734,-.2648791,-.0282814,.0082844,.0847372,.262648,.056204,-.1851617,.1367907,-.0945338,.2519764,.0291359,.1811624,.1070715,-.0176896,.0187649,-.059203,-.0727738,.117132,.0336102,-.0216298,-.0054596,-.0517758,-.0064077,.001685,-.0396536,-.0519895,-.032002,.0214364,-.0363823
Avg diastolic BP,.7604183,1,.9607718,.3932064,.11363,.3899688,.2509037,.2198559,.227768,.1972133,.4016551,.4125969,.4030497,.3863284,.0662732,-.0327853,.1121561,-.0890621,.2157415,-.0605318,-.0011448,.1714425,.0337336,.0522707,.0205994,-.0517631,.0200124,.0234794,.063824,.0280117,.0206478,.0342507,-.0063911,-.0413911,-.0217234,.0313188,-.0082981,.0728937,.0428733,.0123693,.0108472,.039186,-.0422116,-.0327853,-.0341225,.0290609,-.0246759,.0395604,.0288409,.0262733,.0291487,.1083477,-.0608524,-.0869746,-.0612498,.0918187,.033035,.0050493,.0740696,-.0084908,.0053757,.0247452,.0173896,.0963769,-.1518633,-.0094081,.1178285,.1353656,.0038689,.0376703,.0079179,.0290095,.0959398,.0510013,-.0192675,.1581373,.1063884,.045549,.0330634,.1347175,.0910492,.1170264,.0782435,.049265,.2107975,.1012499,.1506241,.0812652,.1787808,-.0588271,.0168956,.0644406,.0680536,.1113269,.1694215,-.1632919,-.0446293,.0105222,.1471356,-.0201759,-.0247563,-.0142775,-.013408,.1339395,-.0167923,-.1655719,-.0236759,.0419838,-.041295,.2179816,.0814216,-.1087182,-.0049427,-.1251966,.2102043,-.0122743,.1825489,.111958,-.0247176,.0517807,-.0023137,-.0409238,.0930576,.0439695,.0299264,.0079646,-.029169,-.0254052,.0407971,-.0126867,-.0029445,-.0113496,.077824,.0237111
Avg estimated MAP ,.906678,.9607718,1,.4658522,.1291905,.4505878,.3088144,.2861341,.2893193,.2395336,.4714388,.4821037,.4738814,.4603093,.0514096,-.0650121,.0981434,-.0505505,.2003204,-.0647795,.004818,.1845746,.0263883,.0360614,.0147573,-.054127,.0242316,.0336875,.0680636,.0321788,.0188219,.0368045,.0081138,-.0333568,-.0245308,.0221955,-.0223669,.0918795,.0605555,.0227928,.0153888,.0418928,-.0324044,-.0325335,-.0145409,.0349584,-.0095568,.047015,.0328534,.0301097,.0383181,.1254249,-.0611342,-.0868844,-.0653411,.0660973,.0267007,-.0047782,.0353107,-.0157101,.024138,.0380145,.0366666,.0744058,-.1505538,-.0109282,.0915468,.1141532,-.0010086,.0411823,-.0002752,.0165564,.0726784,.0085945,-.0268928,.1360727,.1046952,.0408998,-.0006891,.1013336,.071101,.0904088,.0665846,.0401254,.2098418,.1120722,.1541639,.0439743,.1634382,-.0493738,.0384614,.0740655,.0553717,.1543401,.167959,-.1958003,-.052216,.0093006,.1562264,-.0340343,-.0547924,-.0264331,-.0190369,.1398298,-.0359573,-.2160663,-.0277516,.0284825,.0051932,.2534386,.0776596,-.1484271,.0499526,-.1227469,.2388914,.0049208,.1950485,.1139335,-.0217833,.0415773,-.0259937,-.0566281,.1110857,.0394705,.0099352,.0042409,-.041078,-.0179946,.0258324,-.0261902,-.0236257,-.0195518,.0595672,.0000695
Weight at pw26 ,.5030132,.3932064,.4658522,1,.3397328,.8502778,.6419918,.6535178,.622602,.488102,.9639765,.9866584,.9810568,.9719955,-.0356795,-.1626438,-.0452065,.0099697,.0465569,-.128867,-.0232765,.2328848,-.0622007,-.0794734,.0108735,-.0874684,-.0558906,-.0208664,.0029241,-.0567329,-.0818629,-.0366531,-.0190561,-.0809697,-.0695827,-.0854473,-.1057158,.1146274,.0368373,-.0226649,.0108967,-.0152488,-.0463958,-.0902228,-.0600724,-.0377707,-.0663109,-.0073541,-.0465455,-.0595639,-.0182218,.0718146,-.2095628,-.174195,-.1945867,.0161206,.0139073,.0127388,-.0460495,.0423081,-.012647,.0191252,.0244372,-.0401957,-.237365,-.1118889,.1047854,.1494099,-.0295426,.106658,.0301376,.0072429,.0731252,-.0761997,-.0153853,.1323821,.0887277,.0230821,-.0173094,.0688182,.0790509,-.0099818,.0405077,-.090135,.2454805,.165156,.1761066,-.0134442,.1386658,-.0199204,.1761296,.0743421,.0154628,.2354097,.1158441,-.3598629,-.1722725,-.0136003,.2132177,-.072307,-.2046279,-.1291949,-.035049,.1278052,-.1122052,-.4090685,-.0318481,-.0154379,.1568233,.5368318,.022892,-.2751247,.2262926,-.2306914,.4403292,-.0284337,.2312891,.177486,-.0024223,.0038605,-.0912192,-.1322679,.0616316,.0374907,-.0049617,-.0583269,-.028337,.0272195,-.0112994,.0022575,-.0298701,.0128966,.0106753,-.0098221
Height at pw26,.1291478,.11363,.1291905,.3397328,1,.0558244,.0025439,.0555989,-.0082675,.0630846,.3197394,.3447616,.3652714,.3641341,-.0387307,.0244533,-.0443069,.0325121,-.0255326,.0061902,.0071743,-.1138168,-.0066269,.0264237,-.0118616,-.0179037,-.0263224,-.0593975,-.0022942,-.034873,-.0262443,-.0254997,.02045,.0186337,-.0356193,.0126868,-.0372876,-.0219807,.0271326,.0396585,.0411603,.0689922,.034168,.0469107,.0414673,-.0153098,.0502445,-.013576,-.0227358,-.0354781,-.0014818,-.0749786,-.0147044,.0489569,-.0191445,.0345198,.0167741,-.0303243,-.0226329,-.0124557,-.010589,.0017847,-.0072971,-.0002131,-.0184139,.0006301,.1167273,.0369002,-.0048131,.1250533,.1001521,.0055832,.124669,-.0491182,-.000212,.0383907,.0853774,.0650653,.1020283,.108277,.0655662,-.0523467,-.0419378,.0282374,.1139672,.029666,-.0176776,.1313146,.1231619,-.0297709,-.0597335,.0049812,.0331131,.033044,-.0546877,.0206564,-.0986404,.07265,.0299884,-.0048286,.0252413,-.0557698,-.0746385,-.0388102,.0187208,-.0196047,-.0478608,.0652833,-.0551353,.0528547,.0225573,-.025277,-.0519191,-.0520105,-.0428415,.0308796,.0257768,.0103598,.009312,.031465,.0700405,.0309218,.045056,.054062,-.0026162,-.0102189,.0106641,.0162414,.0060071,.0231345,-.0269157,-.0186119,-.0198512,-.0266627
Midarm circumference at pw26,.472103,.3899688,.4505878,.8502778,.0558244,1,.6976715,.6692826,.630865,.5051839,.8375474,.8507874,.8308172,.8182116,-.0111079,-.1481685,-.0055221,-.0141886,.0882201,-.1224062,-.0212663,.2882463,-.0228921,-.0767839,-.0143223,-.0738215,-.0652252,-.004133,.003893,-.0618011,-.0943469,-.0582777,-.064739,-.0956299,-.0221371,-.0972377,-.1038489,.1362503,.0177258,-.0448163,.0064194,-.0332692,-.0912807,-.1198492,-.1096867,-.0517861,-.1126594,-.0236652,-.0531474,-.0627656,-.041871,.1150494,-.2225205,-.2056951,-.208983,.0176024,.0131894,.0527359,-.0169556,.0449104,-.0265834,.0144075,.011091,.0044449,-.2660794,-.0730574,.0598366,.1465168,-.0237898,.05468,.0050926,.0056234,-.0000701,-.0533643,-.0157708,.1360883,.0584187,-.0269253,-.0324691,.0456592,.0618993,.0429988,.0464907,-.0906505,.2370005,.1741339,.2059835,-.0270508,.1370875,-.0204126,.2071479,.0704208,.0155311,.2716178,.1634853,-.3790746,-.1247893,-.037191,.1681773,-.0768003,-.1819154,-.0929658,-.0118087,.1594979,-.0908089,-.4102925,.0181072,-.0181391,.167295,.5316978,.010121,-.2744443,.2214974,-.2625996,.4774164,-.0563057,.2211516,.1661221,-.0333211,.0121349,-.0931993,-.1411006,.0651507,.0121198,-.0341576,-.0470242,-.067469,.0200921,.006949,-.0240052,-.0358407,-.0033313,.0130388,-.0204998
Triceps skinfold at pw26,.3560829,.2509037,.3088144,.6419918,.0025439,.6976715,1,.6734814,.7112774,.5937886,.6090615,.6289318,.6206198,.6032279,-.0870687,-.1455137,.0227503,.0663055,-.0118151,-.1058043,-.046731,.2084201,-.1048329,-.118126,-.0314515,-.018038,-.0139411,.0783404,.0232329,-.0097342,-.0548226,.0001758,.0055081,.008431,-.0553457,-.0719015,-.0669867,.1598418,.0537744,.0087332,.0795058,.0013514,.05859,-.0723602,-.0102054,.0027177,-.0206678,.0268697,-.0064671,-.007846,.0186602,.1701522,-.090531,-.1089026,-.1143936,-.0168689,.0187474,.096313,-.0231588,.0163595,.0256627,.0388076,.0641921,-.0352413,-.229316,-.0975144,.0465525,.1288276,.0714931,.0156847,-.0461046,-.0117676,.0387797,-.0078363,.00133,.0193378,.1181599,.0647204,-.0122001,.0302899,.0662263,.0774168,.0635426,-.0595371,.2148321,.1518137,.2122329,.0208796,.1375857,-.0670997,.2291722,.0857984,.0313497,.2662373,.1374814,-.3560653,-.1466805,-.0390701,.1714643,-.1369001,-.1802181,-.1003988,-.0020919,.1348504,-.0963999,-.3467531,-.0908942,-.0727181,.1513114,.4604083,.0486276,-.2446991,.1999753,-.1466167,.3977732,-.0397419,.1411638,.1430711,.0098952,-.0017692,-.092935,-.1151323,.0454105,.0580024,.0353327,-.0725942,-.0088248,.0246373,-.0402639,-.0088269,-.0860623,-.0703789,-.052558,-.1108537
Biceps skinfold at pw26,.3469669,.2198559,.2861341,.6535178,.0555989,.6692826,.6734814,1,.6142906,.4917748,.6534901,.652845,.6355622,.6242349,-.0316652,-.1564078,-.0139676,.138014,.0761183,-.0551804,.0548043,.2075519,-.0303421,-.0903082,-.0574504,-.0902491,-.0233958,-.0089926,.0177823,-.032952,-.0471691,-.0213444,.0079487,-.0718063,-.044091,-.0535636,-.0854662,.1242882,.0612426,-.0176944,.0055768,-.0234514,.0049533,-.091572,-.0128716,-.0118316,-.0345063,.0142036,-.0168793,-.0333708,.0040575,.1580515,-.1488174,-.2101952,-.1342961,-.0214474,-.0031818,.0585059,-.0677376,-.038607,.0277127,.0465114,.0613534,-.0486403,-.2019481,-.0750741,-.05166,.0494068,.0559635,-.03048,-.0680183,-.0371767,-.0281894,-.0653946,-.0460846,.0259922,.0616978,.0161061,-.1235545,-.0627129,.0182666,-.0087211,.0118308,-.080509,.1493512,.1411123,.1638671,-.105775,.0276074,-.0006779,.2202115,.1017928,.0254417,.2419419,.1164083,-.2959528,-.087195,.0233066,.1201775,-.0824931,-.1879944,-.1102359,.0071862,.1736296,-.1206735,-.353362,.0204322,.0196669,.2402062,.4204736,.0101524,-.2612487,.2982517,-.1905084,.3888745,-.0787171,.1478262,.1163893,.0364101,.0059121,-.0985676,-.1380744,.0852256,-.0015866,-.0187248,-.0259552,.0694045,-.0582949,.0442083,.0816834,.012812,-.081741,.0346239,-.0183472
Subscapular skinfold at pw26,.3398098,.227768,.2893193,.622602,-.0082675,.630865,.7112774,.6142906,1,.5946831,.600238,.6204349,.599198,.5879702,-.1067815,-.1615759,-.0104388,.0826444,-.0267256,-.0998555,.063654,.1526928,-.0724941,-.0803912,-.0178739,-.0375446,-.0063143,.0480788,.0392309,.0029122,-.039382,.0027541,.0137601,-.0226878,-.0254419,-.0644149,-.0506381,.1579437,.0789808,.0165259,.0698574,.0258316,.0366554,-.0453395,.0105585,.0124689,.003894,.0374004,.0000785,.000927,.0318262,.194239,-.1348207,-.1426693,-.1576174,-.0058893,.0213772,.1062449,-.0503476,-.0202818,.0086964,.0445397,.0539654,-.0435875,-.1705256,-.112895,.0211568,.1246239,.0457317,.004231,.016592,-.0060248,.0346098,-.0041193,-.0350575,.0227706,.0819184,.0463135,-.056931,.0492259,.0311064,.0558107,.0291978,-.0290977,.2110142,.1019196,.1854695,.0050652,.1364973,-.0305252,.2231939,.0796391,.0283362,.2327008,.1236835,-.3801367,-.0953258,-.0136081,.1623998,-.1069502,-.1974201,-.0570571,.0000507,.1949861,-.1052903,-.3765791,-.0547909,-.066957,.1564179,.4344077,.0119319,-.2409677,.2213522,-.1769731,.379812,-.0498542,.1831541,.1093017,.0378225,.0443354,-.0713384,-.0927603,.0890227,.0639572,.0303882,-.0051902,-.0202633,.1014548,-.0972174,-.0121357,-.0767813,-.0011562,-.0896111,-.0771604
Suprailiac skinfold at pw26,.2671139,.1972133,.2395336,.488102,.0630846,.5051839,.5937886,.4917748,.5946831,1,.4462891,.4831466,.4861989,.4758405,.0143053,-.0629207,.0888885,-.0170039,.0696885,-.0175849,.0891735,.1022912,-.0441918,-.0372202,-.0646551,-.008532,.0078773,.0722284,.0639386,.0391667,.0236105,-.0083781,.0269352,-.0078779,-.0328848,.0161132,-.0207003,.1151958,.0733223,-.0070122,.0903236,.0615729,.0369822,-.0026181,.0120787,.0246377,.0161589,.0260781,.0180167,.0428006,.0255484,.1211055,-.0706141,-.0455049,-.1027955,.0440179,.0905553,.0686498,.0232602,.0030091,.0651393,.075543,.0835798,.0465191,-.1288508,-.0201604,.0235361,.1390088,.0696655,.0004216,.048613,.0374507,.0531218,-.028889,-.0843863,.0886538,.0792062,.074731,-.0017326,.031096,.0221387,.0775132,-.0113667,.0420086,.1754205,.1024193,.1368314,.0421786,.1156584,-.0206029,.1630904,.0387488,.0352855,.1599442,.0933733,-.2010433,-.0843387,.0041328,.085867,-.0408212,-.1069188,-.0488386,.0250021,.1356291,-.0756758,-.256571,.0113738,.0556532,.095403,.3681323,.0283013,-.1317982,.1325384,-.0622856,.2587446,.0534716,.1179807,.1183153,.0104297,.051897,-.0252171,-.0400024,.0335917,.0286428,.0292551,-.0222532,-.0564248,.0168975,.0064845,-.0014278,-.0646391,-.052987,-.0335184,-.0756693
