,Avg systolic BP,Avg diastolic BP,Avg estimated MAP ,Weight at pw26 ,Height at pw26,Midarm circumference at pw26,Triceps skinfold at pw26,Biceps skinfold at pw26,Subscapular skinfold at pw26,Suprailiac skinfold at pw26,Avg antenatal weight 1st tri ,Avg antenatal weight 2nd tri,Avg antenatal weight 3rd tri ,Last antenatal weight,Sodium  ,Magnesium   ,Phosphorus ,Potassium,Calcium ,Iron ,Ferritin ,Copper,Zinc ,Selenium ,Transferrin receptor ,Myristic,Palmitic acid,Palmitoleic acid,Stearic acid,Oleic acid,cis-Vaccenic acid ,Linoleic acid,Linolenic acid (n-6) ,Linolenic acid (n-3)  ,Arachidic acid ,Gondoic acid ,Eicosadienoic acid  ,DGLA ,Arachidonic ,Behenic acid,ETA ,EPA ,Adrenic acid ,DPA ,DHA,Total FA ,Total n-3,Total n-6 ,SFA ,MUFA ,PUFA ,Triglycerides,Total cholesterol,HDL-cholesterol ,LDL-cholesterol,Flavin mononucleotide,Riboflavin ,N1-methylnicotinamide  ,Nicotinamide,Trigonelline ,Pyridoxal,Pyridoxal 5-phosphate ,Pyridoxic acid,Folate,Vitamin B12,Vitamin D3,Arginine,Asymmetric dimethylarginine ,Creatine,Creatinine ,Homoarginine,Symmetric dimethylarginine,Trimethyllysine ,Cystathionine ,Total Homocysteine ,Total cysteine ,1-Methylhistidine ,3-Methylhistidine ,Histidine ,Methionine ,Methionine sulfoxide ,3-Hydroxyanthranilic acid ,3-Hydroxykynurenine ,Anthranilic acid ,Kynurenic acid ,Kynurenine ,Quinolinic acid ,Tryptophan ,Xanthurenic acid ,Betaine ,Choline ,Dimethylglycine ,Trimethylamineoxide,Fasting glucose,2-hour glucose,Adiponectin,PAI-1,Resistin,MCP-1,FSH,GH,LH,TSH,IGF-I,IGF-II,IGFBP-1,IGFBP-3,IGFBP-7,C-peptide,Leptin,TNF-a,IGFBP-4,Insulin,Aspartate transaminase,C-reactive protein,Alanine transaminase ,Uric acid,Neopterin ,PFBA,PFNA,PFDA,PFUnDA,PFHxS,PFOA,PFBS,PFOS,PSI 1st tri,PSI 2nd tri,PSI 3rd tri ,PSI pregnancy ,PM2.5 1st tri ,PM2.5 2nd tri,PM2.5 3rd tri,PM2.5 pregnancy 
Avg systolic BP,1,0.7087374,0.8759953,0.4296761,0.1199544,0.3974774,0.2903243,0.3054051,0.2304101,0.2071228,0.4299532,0.4438464,0.4374187,0.4321045,0.0314055,-0.0801168,0.0554047,0.0254119,0.1485648,-0.0273586,0.0173385,0.1446763,0.0724172,-0.0200295,0.0272439,-0.0120674,0.0572495,0.0742186,0.0912263,0.0448696,0.0230416,0.0407639,0.0517675,-0.0225934,-0.0178079,-0.0088068,-0.002072,0.1407121,0.1038801,0.0492813,0.0243645,0.0295443,0.0149058,-0.0191868,0.046484,0.0603605,0.0300579,0.068503,0.0649927,0.0438801,0.063191,0.0996804,-0.0091104,-0.0730714,-0.0055812,-0.0014028,0.0048706,0.0092209,-0.0359201,0.0037446,0.1068062,0.0916302,0.116252,0.063341,-0.0832056,0.0267988,-0.0581471,-0.0070308,0.0196142,0.0044303,-0.0947507,0.0161422,0.0172509,-0.0917026,-0.0026794,0.0604728,0.0894548,0.0069183,-0.1361976,-0.0608951,-0.0608791,0.0272459,0.0446264,0.0231897,0.1069049,0.0678511,0.1189586,-0.1022299,0.0221252,-0.0001987,0.0728226,0.0759831,0.0430158,0.1310276,0.0893993,-0.1426616,-0.0074947,0.0274812,0.1053897,0.010889,-0.0635911,0.0628885,0.0411601,0.0773899,-0.0254189,-0.2805077,-0.0323623,-0.0346477,0.2443444,0.1896157,0.0385713,-0.2338516,0.2764537,-0.03642,0.2195131,0.0177315,0.2234824,0.0616083,0.0149875,0.0356719,-0.0419778,-0.0336731,0.1888655,0.0927663,-0.0060663,-0.0080463,-0.055329,-0.0136461,0.0347976,-0.0046259,-0.0426463,-0.0464836,0.0234094,-0.0312299
Avg diastolic BP,0.7087374,1,0.9574802,0.3487784,0.0915762,0.3683496,0.1579223,0.2021264,0.0834842,0.1474457,0.3508955,0.3706969,0.3652334,0.3543587,0.1348654,0.0054003,0.1562843,-0.0952903,0.3071712,-0.0929585,-0.000174,0.221744,0.1324223,0.0726074,0.0633742,-0.0028033,0.0114518,0.0589955,0.0917429,0.0418766,0.0366482,-0.0166551,-0.0722117,-0.1385642,0.0587958,0.018042,0.0211953,0.107147,0.0356251,-0.067616,-0.0609515,-0.025982,-0.1483929,-0.0815249,-0.1065116,0.0109011,-0.1099551,0.0067944,0.0309968,0.0429341,-0.0155544,0.1005919,-0.0390492,-0.1128183,-0.0287196,0.0294001,-0.0463209,-0.0071115,0.0559764,-0.0207195,0.0258452,0.0135889,0.0094437,0.102609,-0.1543242,0.0026079,-0.0294816,0.0124475,0.0146588,-0.010917,-0.1004055,0.0259707,0.0091237,0.021713,0.0118784,0.1494766,-0.0010929,0.0437954,-0.1099218,-0.048609,-0.038947,0.0774702,0.0386848,0.0116469,0.0470603,0.0471798,0.0816642,-0.1205954,-0.0485238,-0.0428384,-0.0028485,0.0518733,0.0258939,0.0775336,0.1332231,-0.0096931,0.0651362,0.012407,-0.0284752,0.1015533,-0.0292883,0.067103,0.0842381,0.1153187,-0.0481635,-0.2148207,0.0916138,0.039385,0.1937459,0.2056,-0.033094,-0.1575631,0.2606988,-0.1471175,0.2048542,-0.0615834,0.201452,0.0857481,-0.0478492,0.017907,-0.0517158,-0.0711997,0.1178885,0.0301683,-0.0350697,0.032397,0.0004982,-0.0627585,0.1150366,0.078715,0.1208308,0.04962,0.1372676,0.143747
Avg estimated MAP ,0.8759953,0.9574802,1,0.4065384,0.108532,0.4064889,0.2223797,0.2590794,0.1517777,0.185226,0.4094952,0.4278565,0.4210011,0.4113362,0.1045447,-0.0287458,0.1256896,-0.0473627,0.2633947,-0.0648399,0.0126714,0.2092452,0.1151055,0.040618,0.0484043,-0.0059417,0.0338882,0.0726202,0.1032164,0.0479535,0.0343977,0.0069141,-0.0245869,-0.1010355,0.0303766,0.0099143,0.0131327,0.1303752,0.0699447,-0.0288472,-0.0280818,-0.0066056,-0.0888295,-0.0613135,-0.0509373,0.0342522,-0.0598326,0.0344582,0.0503013,0.0482031,0.0175738,0.1133037,-0.0268341,-0.1074517,-0.0191706,0.0228731,-0.0246213,-0.0034624,0.0155919,-0.0077445,0.064139,0.0500663,0.0579175,0.0907188,-0.131922,0.0130024,-0.0404942,0.0111135,0.0167029,-0.0053958,-0.1057575,0.0219181,0.0124323,-0.0237184,0.0111421,0.116611,0.0314672,0.0279113,-0.1290224,-0.0542307,-0.0511813,0.0563585,0.0441296,0.0153156,0.0710622,0.0617767,0.0983184,-0.1275757,-0.0298804,-0.0261678,0.0271573,0.0615903,0.0321743,0.1072265,0.1250506,-0.0649968,0.0439224,0.0205873,0.0277679,0.0738181,-0.0504849,0.0715717,0.0740258,0.1098706,-0.0414016,-0.2581891,0.047097,0.0095054,0.229191,0.2132293,-0.0037318,-0.2011463,0.2911904,-0.1157662,0.2216133,-0.0309394,0.2262444,0.0805863,-0.0239996,0.0230958,-0.0553371,-0.0639095,0.1577728,0.0541659,-0.0234345,0.0136241,-0.0212936,-0.0483573,0.0905107,0.0495711,0.0635973,0.0112786,0.1006716,0.0816461
Weight at pw26 ,0.4296761,0.3487784,0.4065384,1,0.318321,0.834148,0.6344498,0.6469685,0.5746318,0.4612212,0.9620239,0.9855745,0.9782928,0.9672034,-0.0535608,-0.1524879,-0.0253766,0.059698,0.0285461,-0.0699037,0.046869,0.1853308,0.032676,-0.0734197,-0.0348302,-0.0202426,0.023454,0.0438941,0.0490417,0.0027251,-0.0200107,0.0327907,0.0271676,-0.0458333,-0.0329264,-0.0526044,-0.0080124,0.183867,0.0879049,0.0293311,0.0629671,-0.0075871,-0.0070693,-0.0776171,-0.0010148,0.0373242,-0.0122941,0.0672685,0.0291775,0.0011572,0.0542713,0.0716005,-0.1568995,-0.1627748,-0.1444243,-0.0276121,-0.0210046,0.0464541,-0.0051146,0.031689,-0.0051161,0.0240336,0.035928,-0.0128733,-0.2122563,-0.031688,0.0329632,0.0929273,-0.0024522,0.0838163,0.0499686,0.0522067,0.0129806,-0.1679974,-0.030737,0.0862601,0.1008621,-0.0188581,-0.0810988,-0.0414145,0.0185807,-0.0598995,0.0086828,-0.0978084,0.1685805,0.0811209,0.1223353,-0.0884457,0.046737,-0.0149542,0.193133,0.1005502,0.0085496,0.1868622,0.0875018,-0.2891951,-0.1608655,0.0041148,0.1619011,-0.0657264,-0.2359728,-0.0861904,-0.0172895,0.1100451,-0.1087711,-0.4505548,-0.0491833,-0.0560179,0.3869217,0.4478501,-0.014346,-0.3610957,0.4638321,-0.1954601,0.3876603,-0.0364057,0.3090272,0.0740956,-0.0496456,0.0526344,-0.057814,-0.0954214,0.0868277,0.0352705,-0.0902224,-0.0499226,-0.0355344,0.0275353,-0.0143862,-0.0117205,-0.0562931,-0.0223181,-0.0268412,-0.0447066
Height at pw26,0.1199544,0.0915762,0.108532,0.318321,1,0.0084885,-0.0049284,0.0243947,0.0214386,0.07468,0.2750746,0.3211203,0.3441564,0.3479765,-0.0065978,0.0614068,-0.0129897,0.0385864,-0.0000752,0.0547702,0.0295508,-0.139165,0.0602914,0.0378081,-0.0503864,0.0219849,-0.0297636,-0.0644423,0.0322531,-0.0258423,-0.0270404,-0.0063026,-0.013235,0.0587588,0.0198907,0.0325553,0.0210145,-0.0169404,0.0033054,0.0185444,0.0310275,0.04855,0.0169462,0.0429226,0.0139462,-0.006292,0.0286013,0.0017605,-0.0156828,-0.0288252,0.007535,-0.033649,0.0166898,0.04655,0.0039591,0.0252903,-0.0074978,-0.012184,-0.0251272,0.0080343,0.0027539,0.0326795,-0.0053672,0.0095722,-0.003975,0.0645109,0.0169002,-0.0647785,0.0082799,0.1092729,0.131678,-0.0059402,0.1449108,-0.0960817,-0.0215668,-0.0298501,0.0973287,0.0861037,0.0281741,0.0755975,-0.0034939,-0.0624184,-0.1109069,0.0663851,0.1073076,0.0129448,-0.0334713,0.159424,0.0947556,-0.0015069,-0.0484035,-0.0171932,0.023525,0.054208,-0.0597441,0.0991369,-0.0208609,0.1188244,-0.0242555,0.0125708,0.0213909,-0.032622,-0.0439605,-0.0359835,0.0259528,-0.0512771,-0.0309992,0.0562897,0.0333801,0.0252993,0.0133641,-0.0354918,0.0509801,-0.0464782,-0.0825246,0.0611486,0.0229991,-0.0078325,0.0026833,0.0586079,0.0658266,0.0643433,0.0738515,0.0744381,0.012841,-0.0356486,-0.0440424,-0.0049016,0.01472,-0.0331011,-0.0708599,-0.0582975,-0.0543246,-0.0807242
Midarm circumference at pw26,0.3974774,0.3683496,0.4064889,0.834148,0.0084885,1,0.6813402,0.6784224,0.5620727,0.47424,0.8205814,0.8327334,0.8018242,0.7889579,-0.0403262,-0.1423743,0.012107,0.0375678,0.0940494,-0.0780698,0.0395459,0.2713073,0.0802777,-0.0658442,-0.0474253,-0.0230392,-0.0033732,0.067548,0.0441439,-0.0084419,-0.0355516,-0.02297,-0.0283996,-0.0959329,-0.0028062,-0.0874968,-0.0296683,0.186337,0.0598542,0.0132251,0.0660813,-0.0063196,-0.0978912,-0.0935515,-0.055213,0.0047518,-0.0598662,0.02104,0.0081715,-0.0071723,0.0050885,0.1095058,-0.1903176,-0.1946921,-0.1780816,-0.0099507,-0.0104973,0.0915313,0.0116753,0.0544735,-0.0156037,0.0170877,0.0298765,0.018055,-0.2546451,-0.0045821,0.0105101,0.1297882,0.003232,0.0623105,0.0265392,0.0629632,-0.0643481,-0.1215456,-0.0239507,0.1127093,0.0722981,-0.0662419,-0.074642,-0.0916561,0.0091066,0.0201278,0.0206958,-0.0925451,0.1666925,0.0894049,0.1872134,-0.0986433,0.0477542,-0.011949,0.2281294,0.0845846,0.0058648,0.1661427,0.1389496,-0.2858988,-0.0844948,-0.0368833,0.0658308,-0.0328513,-0.1962458,-0.0133327,0.0560352,0.1550513,-0.0646676,-0.4154573,0.0472441,0.0022023,0.383985,0.4623113,-0.0481556,-0.3141795,0.433028,-0.2312038,0.434462,-0.065923,0.2889997,0.0568409,-0.1229918,0.0498206,-0.0655888,-0.1064755,0.1057125,-0.0102798,-0.1521144,-0.0408441,-0.0213398,-0.0017918,0.038797,0.0372192,-0.0104442,-0.0429163,-0.0106898,-0.0225662
Triceps skinfold at pw26,0.2903243,0.1579223,0.2223797,0.6344498,-0.0049284,0.6813402,1,0.7354093,0.7077455,0.5599313,0.6005481,0.613709,0.6074811,0.5975414,-0.1453386,-0.1736239,-0.0300744,0.1454953,-0.1296835,-0.0920013,0.0545639,0.1572576,-0.0723584,-0.1182488,-0.0375605,0.0608775,0.0996915,0.1731068,0.0895556,0.0647256,0.0146368,0.0714901,0.1193124,0.0589812,-0.0584843,-0.0395546,0.0308289,0.2507538,0.1461855,0.0892139,0.1537545,0.0382373,0.1062049,0.0060129,0.1143668,0.1045279,0.0898175,0.1195178,0.1002324,0.0670053,0.116451,0.1654972,-0.0768597,-0.0928542,-0.120513,-0.0319875,0.0280495,0.1061628,-0.0030967,0.037762,0.0874824,0.0943289,0.1332977,-0.0522151,-0.1228348,-0.0623243,0.0376437,0.1272668,0.0918867,0.0721634,-0.0638088,0.0336654,-0.019356,-0.0617598,0.014897,0.0117491,0.164577,0.0301911,-0.0411183,-0.0525915,0.0888307,0.0623001,0.0485429,-0.0522276,0.1920822,0.1077004,0.2024074,-0.0395913,0.0643035,-0.0510994,0.2526065,0.0753614,0.0541781,0.2305789,0.0340839,-0.3123103,-0.1697445,-0.0208185,0.1879171,-0.178181,-0.270622,-0.0912087,0.0342788,0.173503,-0.0635809,-0.3491642,-0.0781067,-0.0427333,0.3824022,0.3869326,0.0501795,-0.3143351,0.399198,-0.0741629,0.3417121,0.005096,0.2071043,0.1152311,-0.0367794,0.0880227,0.0107007,-0.0233422,0.1250485,0.049426,-0.0463652,0.0264112,-0.0333836,0.0649134,-0.0896443,-0.0556052,-0.1499658,-0.1161474,-0.1437924,-0.1745539
Biceps skinfold at pw26,0.3054051,0.2021264,0.2590794,0.6469685,0.0243947,0.6784224,0.7354093,1,0.6094051,0.5058325,0.6440638,0.6443691,0.6175087,0.6073792,-0.1087249,-0.2032467,-0.035197,0.1528001,-0.0451235,-0.048906,0.1129519,0.1898152,-0.0710237,-0.1579455,-0.1112837,0.0153684,0.1012985,0.105125,0.1125458,0.0496896,0.0257791,0.0780435,0.1622367,0.0346895,-0.0222266,0.0151038,0.0251505,0.2203682,0.1471819,0.1301368,0.112803,-0.0309934,0.1526516,-0.0247103,0.1055004,0.1038733,0.0659686,0.1214769,0.1077949,0.0545685,0.110576,0.1377462,-0.0847197,-0.1924082,-0.0745704,-0.0455562,0.0238426,0.0663424,-0.0620558,-0.0003855,0.08928,0.0899214,0.138139,-0.0844843,-0.1781977,-0.0371968,-0.0635579,0.0554881,0.0234263,0.0203978,-0.1147301,0.0222793,-0.0782357,-0.0858116,-0.0346805,0.0064744,0.0801188,-0.0361319,-0.1452166,-0.0858456,0.0380602,-0.0187705,0.005317,-0.0434498,0.1408816,0.1122715,0.1478338,-0.1355931,-0.0047535,0.0440997,0.2844436,0.1403861,0.0529856,0.1882789,0.078572,-0.2805257,-0.1018108,0.0461971,0.138807,-0.0924664,-0.2342611,-0.0697944,0.0946094,0.1586654,-0.0950578,-0.3540638,-0.0370358,-0.0148394,0.3893656,0.3917721,0.0178805,-0.3190771,0.4390947,-0.1469273,0.393893,-0.0494561,0.204136,0.0473829,0.0408545,0.1095166,-0.0050338,-0.113437,0.1360971,0.0847332,-0.0435632,0.0018673,0.0265443,-0.0017827,-0.0084909,0.0517918,-0.112854,-0.1563037,-0.041307,-0.1208614
Subscapular skinfold at pw26,0.2304101,0.0834842,0.1517777,0.5746318,0.0214386,0.5620727,0.7077455,0.6094051,1,0.5024663,0.5450218,0.5641972,0.542399,0.5370785,-0.1642502,-0.2044546,-0.0400246,0.1873169,-0.1567136,-0.0701229,0.115038,0.0394237,-0.049247,-0.0775054,-0.0690466,0.0296105,0.110337,0.1298137,0.0902725,0.0670953,0.000478,0.0724825,0.1000045,0.0318428,-0.0053494,-0.0326564,0.0204505,0.2242364,0.1449787,0.0817468,0.1607309,0.0491556,0.0851622,0.0051412,0.1282861,0.1079776,0.1036809,0.1171175,0.1054679,0.0640136,0.1184041,0.14711,-0.079398,-0.0750536,-0.1179172,-0.0121285,0.0262544,0.1298273,-0.0803213,-0.0455217,0.0705539,0.1048357,0.1305145,-0.0566997,-0.0482366,-0.0470521,0.0260575,0.140384,0.0439751,0.0617005,0.0081376,0.0487565,-0.0041829,-0.0362304,-0.0171733,-0.0123176,0.1017906,0.0269387,-0.1364649,0.0306532,0.0555051,0.0014187,0.0088243,-0.0096787,0.1715572,0.0043199,0.1217648,-0.0389392,0.0529933,-0.0007207,0.2660476,0.1226187,0.012242,0.1933886,0.0635384,-0.3490971,-0.0729535,-0.0232405,0.1747459,-0.1709109,-0.2720695,-0.0470721,0.0266427,0.2252617,-0.1007361,-0.3735394,-0.0743349,-0.0627566,0.3224144,0.3279817,0.0265878,-0.3303172,0.3746211,-0.0661374,0.2531448,0.0211825,0.2427514,0.0570081,-0.0179717,0.0899014,-0.0012997,-0.0163573,0.0787824,0.0424113,-0.0549346,0.0320251,-0.0298284,0.1194443,-0.1397032,-0.0555902,-0.1483016,-0.0561868,-0.1911798,-0.1640493
Suprailiac skinfold at pw26,0.2071228,0.1474457,0.185226,0.4612212,0.07468,0.47424,0.5599313,0.5058325,0.5024663,1,0.4121083,0.4564009,0.4497011,0.4524404,0.0244563,-0.0329709,0.1038323,-0.0366872,0.0615536,-0.0067199,0.1035931,0.0904077,0.0028743,0.0161631,-0.0731721,0.0232004,0.0332208,0.09406,0.0853965,0.0431291,0.0366594,-0.0474846,-0.0458426,-0.0466637,-0.0062896,0.0171928,-0.0196312,0.1040289,0.072072,-0.0012029,0.1004735,0.0604837,-0.0249593,0.0074282,-0.0121916,0.0203693,-0.0034468,-0.0054205,0.0433545,0.0487443,-0.0075058,0.0792044,-0.0113687,-0.0348996,-0.029219,0.0714865,0.1255566,0.055045,0.0137753,-0.0172655,0.091184,0.0794538,0.0931231,0.0722521,-0.0582867,0.0365975,-0.028236,0.1502355,0.0691375,0.0027883,0.0739242,0.032837,-0.0053091,-0.0686241,-0.0625546,0.0968399,0.1120556,0.0584153,-0.0553986,-0.0412658,0.0223085,0.0099065,-0.0386139,0.0111772,0.1036052,0.0143883,0.0647008,0.0026585,0.02223,0.0043918,0.1783925,0.0580698,0.0515551,0.125787,0.1166263,-0.154876,-0.0906251,-0.027883,0.0375244,-0.0271919,-0.0962847,-0.0064946,0.0544891,0.1531207,-0.0632099,-0.2276444,0.060114,0.048196,0.2072034,0.2826452,0.0274605,-0.2080311,0.2619012,-0.0045807,0.1779334,0.0529237,0.1781919,0.0767789,-0.0010703,0.1903081,0.0974609,0.1241082,0.0727925,0.0386642,0.0027602,0.1069308,-0.1053219,-0.0487124,0.0906866,-0.0259281,-0.1278274,-0.2065665,-0.0566021,-0.1797053
